coder1,coder2,coder3,coder4,coder5(gentle),coder6,Text,Date
5,5,5,4,4,4,"Guo Jiao ’s main slogan: Save 1.4 billion Chinese people and enjoy the freedom, democracy and legal system. Why do you want to suppress people with different voices?",2020/4/22
3,5,5,4,3,4,"Japan only lost life, but China lost the entire new season!France only loses life, but China loses freedom!What the United States loses is life, but what China loses is democracy!",2020/4/21
1,1,1,1,2,1,"The scumbag reporter from China and the official nodded, but used American democracy to rudely interrupt Trump",2020/4/20
1,1,1,1,2,1,"Since then, the Chinese economy has left Chinese people to entertain themselves, and has no connection with the outside world! China: No democracy",2020/4/22
5,5,5,5,4,5,"Jianguo even took the lead in planning the riots. The United States did not see this battle to build the Republic of Trump. Fortunately, China does not have a democratic system.",2020/4/17
1,1,2,2,3,2,"China is different, there is nothing, there is no democracy, hope for democracy, no freedom, freedom, no rule of law, no rule of law, no clean officials, no clean food, no safe food, no clean air, clean air.",2020/4/20
5,5,5,5,4,5,"Some people have spent several years in the United States as if they were free and democratic. In fact, everyone knows, what right do you get?",2020/4/16
5,5,5,5,4,4,"Global Times tweeted to ask Twitter: ""Blocked because of different opinions. For a country claiming democracy and freedom of speech, it is a face-slap in itself.""",2020/4/14
1,1,2,2,2,1,"Chinese people do n’t talk about achieving democracy, it ’s good not to destroy democracy when they emigrate overseas!",2020/4/14
5,5,5,5,4,5,"If the firewall is removed, China will be democratic and free, and it is impossible for the Chinese in Chinatown of the United States, France, Britain and Australia to still love China.",2020/4/14
1,1,1,1,2,1,"Xi Jinping, a tyrant who cannot tolerate any objection, will not fall, and China has no possibility of democracy",2020/4/13
5,5,5,5,4,5,"I want to say that the Chinese government has done very well in governing a country with a population of 1.4 billion. I do n’t know why some people hold the government ’s pension and believe in cults, and some people enjoy the dividends of the country to chant foreign democracy?",2020/4/18
4,5,5,5,4,5,"As long as the western plunder and monopoly are brokenChinese people will be the same or even better. The Chinese government will continue to work hard like this
God bless China!",2020/4/16
5,4,5,4,5,5,"A country does not need democracy at all, why should ordinary people worry about national affairs",2020/4/21
3,3,3,4,3,4,"Hope the President of China, Ms. Tsai Ing-wen, has a mission to promote a democratic China system and revitalize China",2020/4/20
1,1,2,2,3,2,"The domestic system must have a huge impact and the atrocities will converge, and the era of democracy and free people will come!",2020/4/18
3,4,3,3,3,3,"In the 1990s, in the face of the disintegration of Su Dong, Fukuyama was pleased to write: History is over, meaning that freedom and democracy have become the choices of the people of the world, and human society will never have another major event such as the Cold War happened.",2020/4/15
3,2,2,2,3,3,64 Why did it fail? You can see the shadow from some democratic and free personnel overseas. Is that these people ’s political pursuits are too idealistic and unrealistic,2020/4/16
5,5,4,4,4,5,"What can save China is not a vaccine, but democracy; the extreme left is the existence of the country and the people! The Chinese have always disliked admitting mistakes and have little sense of confession. ""This is called farting.",2020/4/16
5,4,4,5,3,4,"Finally, he encountered a Taiwanese independence who could scream at the line, he talked to me about democracy, freedom and human rights in the West, and despised the Chinese system.",2020/4/17
4,3,4,5,3,4,"The United States, as a democratic political advocacy, must also grasp the scale when dealing with the Communist Party of China, North Korea, Cuba and other authoritarian socialist countries.",2020/4/16
1,1,1,1,2,1,"Expel vampires and build a democratic and free New China. Without the Communist Party, there will be a new China!",2020/4/16
5,4,5,5,4,5,"In the so-called European and American democracies, you are asking people over the age of 60 to voluntarily give up treatment after viral infection.",2020/4/15
4,5,5,4,3,4,"There are many articles criticizing the government's discussion of judicial justice and social equity, and they have not been deliberately suppressed. If you learn democracy and human rights, you will learn that you are out of context?",2020/4/15
4,5,4,4,4,5,"During this time many people discussed the issue of racial discrimination in China. After leaving China, the so-called democratic movements continue to take the one-sided news out of context and turn it into a so-called negative news. Many people overseas still believe it.",2020/4/18
