,Unnamed: 0,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,lyrics
0,1,"Hey, Soul Sister",Train,neo mellow,2010,97,89,67,-4,8,80,217,19,4,83,"

[Intro]
Heyy
Heeey
Heey

[Verse 1]
Your lipstick stains
On the front lobe of my left-side brains
I knew I wouldn't forget you
And so I went and let you
Blow my mind
Your sweet moonbeam
The smell of you
In every single dream I dream
I knew when we collided
You're the one I have decided
Who's one of my kind

[Chorus]
Hey, soul sister
Ain't that Mr. Mister
On the radio, stereo?
The way you move ain't fair, you know
Hey, soul sister
I don't want to miss a
Single thing you do, tonight

[Interlude]
Heyy
Heeey
Heey

[Verse 2]
Just in time
I'm so glad you have
A one track mind like me
You gave my life direction
A game show love connection
We can't deny
I'm so obsessed
My heart is bound to beat right out
My untrimmed chest
I believe in you, like a virgin you're Madonna
And I'm always gonna wanna
Blow your mind

[Chorus]
Hey, soul sister
Ain't that Mr. Mister
On the radio, stereo?
The way you move ain't fair, you know
Hey, soul sister
I don't want to miss a
Single thing you do, tonight

[Bridge]
Way you can cut a rug
Watching you's the only drug I need
So gangster, I'm so thug
You're the only one I'm dreaming of, you see
I can be myself now finally
In fact there's nothing I can't be
I want the world to see you be, with me

[Chorus]
Hey, soul sister
Ain't that Mr. Mister
On the radio, stereo?
The way you move ain't fair, you know
Hey, soul sister
I don't want to miss a
Single thing you do, tonight

[Outro]
Hey, soul sister
I don't want to miss a
Single thing you do, tonight
Heyy
Heeey
Heey, tonight

Heyy
Heeey
Heey, tonight

"
1,2,Love The Way You Lie,Eminem,detroit hip hop,2010,87,93,75,-5,52,64,263,24,23,82,"

[Chorus: Rihanna]
Just gonna stand there and watch me burn?
Well, that's all right because I like the way it hurts
Just gonna stand there and hear me cry?
Well, that's all right because I love the way you lie
I love the way you lie

[Verse 1: Eminem]
I can't tell you what it really is, I can only tell you what it feels like
And right now, there's a steel knife in my windpipe
I can't breathe, but I still fight while I can fight
As long as the wrong feels right, it's like I'm in flight
High off her love, drunk from her hate
It's like I'm huffin' paint and I love her, the more I suffer, I suffocate
And right before I'm about to drown, she resuscitates
Me, she fuckin' hates me, and I love it ??""Wait!
Where you going?"" ??""I'm leaving you!"" ??""No, you ain't!
Come back!"" ??We're runnin' right back, here we go again
It's so insane, 'cause when it's goin' good, it's goin' great
I'm Superman with the wind at his back, she's Lois Lane
But when it's bad, it's awful, I feel so ashamed
I snapped, ""Who's that dude?"", I don't even know his name
I laid hands on her, I'll never stoop so low again
I guess I don't know my own strength

[Chorus: Rihanna]
Just gonna stand there and watch me burn?
Well, that's all right because I like the way it hurts
Just gonna stand there and hear me cry?
Well, that's all right because I love the way you lie
I love the way you lie
I love the way you lie

[Verse 2: Eminem]
You ever love somebody so much you can barely breathe when you're with 'em?
You meet, and neither one of you even know what hit 'em
Got that warm fuzzy feelin', yeah, them chills, used to get 'em
Now you're gettin' fuckin' sick of lookin' at 'em?
You swore you'd never hit 'em, never do nothin' to hurt 'em
Now you're in each other's face spewin' venom in your words when you spit 'em
You push, pull each other's hair, scratch, claw, bit 'em
Throw 'em down, pin 'em, so lost in the moments when you're in 'em
It's the rage that took over, it controls you both
So they say you're best to go your separate ways, guess that they don't know ya
'Cause today, that was yesterday, yesterday is over
It's a different day, sound like broken records playin' over
But you promised her, next time you'll show restraint
You don't get another chance, life is no Nintendo game, but you lied again
Now you get to watch her leave out the window
Guess that's why they call it window pane

[Chorus: Rihanna]
Just gonna stand there and watch me burn?
Well, that's all right because I like the way it hurts
Just gonna stand there and hear me cry?
Well, that's all right because I love the way you lie
I love the way you lie
I love the way you lie

[Verse 3: Eminem]
Now, I know we said things, did things that we didn't mean
Then we fall back into the same patterns, same routine
But your temper's just as bad as mine is, you're the same as me
When it comes to love you're just as blinded, baby, please
Come back, it wasn't you, baby, it was me
Maybe our relationship isn't as crazy as it seems
Maybe that's what happens when a tornado meets a volcano
All I know is I love you too much to walk away though
Come inside, pick up your bags off the sidewalk
Don't you hear sincerity in my voice when I talk?
Told you this is my fault, look me in the eyeball
Next time I'm pissed, I'll aim my fist at the drywall
Next time? There won't be no next time!
I apologize, even though I know it's lies
I'm tired of the games, I just want her back, I know I'm a liar
If she ever tries to fuckin' leave again, I'ma tie her
To the bed and set this house on fire, just gonna

[Chorus: Rihanna]
Just gonna stand there and watch me burn?
Well, that's all right because I like the way it hurts
Just gonna stand there and hear me cry?
Well, that's all right because I love the way you lie
I love the way you lie
I love the way you lie

"
2,3,TiK ToK,Kesha,dance pop,2010,120,84,76,-3,29,71,200,10,14,80,"

[Verse 1]
Wake up in the morning feelin' like P. Diddy (Hey, what up, girl?)
Grab my glasses, I'm out the door, I'm gonna hit this city (Let's go)
Before I leave, brush my teeth with a bottle of Jack
'Cause when I leave for the night, I ain't coming back

[Pre-Chorus 1]
I'm talkin' pedicure on our toes, toes
Tryin' on all our clothes, clothes
Boys blowin' up our phones, phones
Drop-toppin', playin' our favorite CDs
Pullin' up to the parties
Tryna get a little bit tipsy

[Chorus]
Don't stop, make it pop
DJ, blow my speakers up
Tonight, I'ma fight
Till we see the sunlight
Tick tock on the clock
But the party don't stop, no
Oh, whoa, whoa, oh
Oh, whoa, whoa, oh
Don't stop, make it pop
DJ, blow my speakers up
Tonight, I'ma fight
Till we see the sunlight
Tick tock on the clock
But the party don't stop, no
Oh, whoa, whoa, oh
Oh, whoa, whoa, oh

[Verse 2]
Ain't got a care in the world, but got plenty of beer
Ain't got no money in my pocket, but I'm already here
And now the dudes are linin' up 'cause they hear we got swagger
But we kick 'em to the curb unless they look like Mick Jagger

[Pre-Chorus 2]
I'm talkin' about errbody gettin' crunk, crunk
Boys try to touch my junk, junk
Gonna smack him if he gettin' too drunk, drunk
Now, now we go until they kick us out, out
Or the police shut us down, down
Police shut us down, down
Po-po shut us down

[Chorus]
Don't stop, make it pop
DJ, blow my speakers up
Tonight, I'ma fight
Till we see the sunlight
Tick tock on the clock
But the party don't stop, no
Oh, whoa, whoa, oh
Oh, whoa, whoa, oh
Don't stop, make it pop
DJ, blow my speakers up
Tonight, I'ma fight
Till we see the sunlight
Tick tock on the clock
But the party don't stop, no
Oh, whoa, whoa, oh
Oh, whoa, whoa, oh

[Bridge]
(DJ) You build me up, you break me down
My heart, it pounds, yeah, you got me
With my hands up, you got me now
You got that sound, yeah, you got me
(DJ) You build me up, you break me down
My heart, it pounds, yeah, you got me
With my hands up, put your hands up
Put your hands up

[Break]
Now, the party don't start till I walk in

[Chorus]
Don't stop, make it pop
DJ, blow my speakers up
Tonight, I'ma fight
Till we see the sunlight
Tick tock on the clock
But the party don't stop, no
Oh, whoa, whoa, oh
Oh, whoa, whoa, oh
Don't stop, make it pop
DJ, blow my speakers up
Tonight, I'ma fight
Till we see the sunlight
Tick tock on the clock
But the party don't stop, no
Oh, whoa, whoa, oh
Oh, whoa, whoa, oh

"
3,4,Bad Romance,Lady Gaga,dance pop,2010,119,92,70,-4,8,71,295,0,4,79,"

[Intro]
Oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh
Caught in a bad romance
Oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh
Caught in a bad romance
Ra-ra-ah-ah-ah
Roma Roma-ma
Gaga, ""Oh la-la""
Want your bad romance
Ra-ra-ah-ah-ah
Roma, Roma-ma
Gaga, ""Oh la-la""
Want your bad romance

[Verse 1]
I want your ugly, I want your disease
I want your everything as long as it?? free
I want your love
Love, love, love, I want your love, hey!
I want your drama, the touch of your hand, (Hey!)
I want your leather-studded kiss in the sand
I want your love
Love, love, love, I want your love
(Love, love, love, I want your love)

[Pre-Chorus]
You know that I want you
And you know that I need you
I want it bad
Your bad romance

[Chorus]
I want your love, and I want your revenge
You and me could write a bad romance
Oh-oh-oh-oh-oh
I want your love, and all your lover's revenge
You and me could write a bad romance
Oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh
Caught in a bad romance
Oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh
Caught in a bad romance

[Post-Chorus]
Ra-ra-ah-ah-ah
Roma-roma-ma
Gaga, ""Oh la-la""
Want your bad romance

[Verse 2]
I want your horror, I want your design
??ause you??e a criminal as long as you??e mine
I want your love
Love, love, love, I want your love, huh
I want your psycho, your vertigo shtick (Hey, hey!)
Want you in my rear window, baby, you're sick
I want your love
Love, love, love, I want your love
(Love, love, love, I want your love)

[Pre-Chorus]
You know that I want you
And you know that I need you ('cause I'm a free bitch, baby)
I want it bad
Your bad romance

[Chorus]
I want your love, and I want your revenge
You and me could write a bad romance
Oh-oh-oh-oh-oh
I want your love, and all your lover's revenge
You and me could write a bad romance
Oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh
Caught in a bad romance
Oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh
Caught in a bad romance

[Post-Chorus]
Ra-ra-ah-ah-ah
Roma-roma-ma
Gaga, ""Oh la-la""
Want your bad romance
Ra-ra-ah-ah-ah
Roma-roma-ma
Gaga, ""Oh la-la""
Want your bad romance

[Bridge 1]
Walk, walk, fashion, baby
Work it, move that bitch crazy
Walk, walk, fashion, baby
Work it, move that bitch crazy
Walk, walk, fashion, baby
Work it, move that bitch crazy
Walk, walk, passion, baby
Work it, I'm a free bitch, baby

[Bridge 2]
I want your love, and I want your revenge
I want your love, I don't wanna be friends
Je veux ton amour et je veux ta revanche
Je veux ton amour, I don't wanna be friends
(Oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh)
No, I don't wanna be friends
(Want your bad romance)
I don't wanna be friends
Want your bad romance
Want your bad romance

[Chorus]
I want your love, and I want your revenge
You and me could write a bad romance
Oh-oh-oh-oh-oh
I want your love, and all your lover's revenge
You and me could write a bad romance
Oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh
(Want your bad romance)
Caught in a bad romance
(Want your bad romance)
Oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh
(Want your bad romance)
Caught in a bad romance

[Outro]
Ra-ra-ah-ah-ah
Roma, Roma-ma
Gaga, ""Oh la-la""
Want your bad romance

"
4,5,Just the Way You Are,Bruno Mars,pop,2010,109,84,64,-5,9,43,221,2,4,78,"

[Verse 1]
Oh, her eyes, her eyes
Make the stars look like they're not shinin'
Her hair, her hair
Falls perfectly without her trying
She's so beautiful
And I tell her every day
Yeah, I know, I know
When I compliment her she won't believe me
And it's so, it's so
Sad to think that she don't see what I see
But every time she asks me, ""Do I look okay?""
I say

[Chorus]
When I see your face
There's not a thing that I would change
'Cause you're amazing just the way you are
And when you smile
The whole world stops and stares for a while
'Cause, girl, you're amazing just the way you are

[Verse 2]
Her lips, her lips
I could kiss them all day if she'd let me
Her laugh, her laugh
She hates but I think it's so sexy
She's so beautiful, and I tell her every day
Oh you know, you know, you know
I'd never ask you to change
If perfect's what you're searching for
Then just stay the same
So don't even bother asking if you look okay
You know I'll say

[Chorus]
When I see your face
There's not a thing that I would change
'Cause you're amazing just the way you are
And when you smile
The whole world stops and stares for a while
'Cause, girl, you're amazing just the way you are

[Post-Chorus]
The way you are
The way you are
Girl, you're amazing just the way you are

[Chorus]
When I see your face
There's not a thing that I would change
'Cause you're amazing just the way you are
And when you smile
The whole world stops and stares for a while
'Cause, girl, you're amazing just the way you are, yeah

"
5,6,Baby,Justin Bieber,canadian pop,2010,65,86,73,-5,11,54,214,4,14,77,"

[Produced by The-Dream and Tricky Stewart]

[Intro: Justin Bieber]
Oh, woah
Oh, woah
Oh, woah

[Verse 1: Justin Bieber]
You know you love me, I know you care
Just shout whenever and I??l be there
You want my love, you want my heart
And we will never, ever, ever be apart
Are we an item? Girl, quit playing
We??e just friends, what are you saying?
Said ""There?? another,"" and looked right in my eyes
My first love broke my heart for the first time, and I was like...

[Chorus: Justin Bieber]
Baby, baby, baby oh
Like baby, baby, baby no
Like baby, baby, baby no oh
Thought you'd always be mine, mine
Baby, baby, baby oh
Like baby, baby, baby no
Like baby, baby, baby no oh
Thought you?? always be mine, mine

[Verse 2: Justin Bieber]
Oh, for you I would have done whatever
And I just can?? believe we ain't together
And I wanna play it cool, but I'm losing you
I'll buy you anything, I'll buy you any ring
And I'm in pieces, baby, fix me
And just shake me 'til you wake me from this bad dream
I'm going down, down, down, down
And I just can?? believe my first love won?? be around, and I'm like...

[Chorus: Justin Bieber]
Baby, baby, baby oh
Like baby, baby, baby no
Like baby, baby, baby no oh
Thought you?? always be mine, mine
Baby, baby, baby oh
Like baby, baby, baby no
Like baby, baby, baby no oh
Thought you?? always be mine, mine

[Verse 3: Ludacris]
(Luda)
When I was 13, I had my first love
There was nobody that compared to my baby
And nobody came between us, nor could ever come above
She had me going crazy
Oh, I was starstruck
She woke me up daily, don?? need no Starbucks
She made my heart pound, and skip a beat when I see her in the street and
At school on the playground, but I really want to see her on the weekend
She knows she's got me dazing, cause she was so amazing
And now my heart is breaking, but I just keep on saying

[Chorus: Justin Bieber]
Baby, baby, baby oh
Like baby, baby, baby no
Like baby, baby, baby no oh
Thought you?? always be mine, mine
Baby, baby, baby oh
Like baby, baby, baby no
Like baby, baby, baby no oh
Thought you?? always be mine, mine

[Outro: Justin Bieber]
I'm gone, yeah yeah yeah
Now I'm all gone, yeah yeah yeah
Now I'm all gone, yeah yeah yeah
Now I'm all gone, gone, gone, gone, I'm gone

"
6,7,Dynamite,Taio Cruz,dance pop,2010,120,78,75,-4,4,82,203,0,9,77,"

[Verse 1]
I came to dance, dance, dance, dance (Yeah)
I hit the floor 'cause that's my plans, plans, plans, plans (Yeah)
I'm wearing all my favorite brands, brands, brands, brands (Yeah)
Give me some space for both my hands, hands, hands, hands, yeah, yeah

[Pre-Chorus]
Yeah, yeah
'Cause it goes on and on and on
And it goes on and on and on, yeah

[Chorus]
I throw my hands up in the air sometimes
Sayin' ""Ayo, gotta let go""
I wanna celebrate and live my life
Sayin' ""Ayo, baby, let's go""
'Cause we gon' rock this club
We gon' go all night
We gon' light it up
Like it's dynamite
'Cause I told you once
Now I told you twice
We gon' light it up
Like it's dynamite

[Verse 2]
I came to move, move, move, move (Yeah)
Get out the way of me and my crew, crew, crew, crew (Yeah)
I?? in the club so I?? gonna do, do, do, do (Yeah)
Just what the fuck, came here to do, do, do, do (Yeah)

[Pre-Chorus]
Yeah, yeah
'Cause it goes on and on and on
And it goes on and on and on, yeah

[Chorus]
I throw my hands up in the air sometimes
Sayin' ""Ayo, gotta let go""
I wanna celebrate and live my life
Sayin' ""Ayo, baby, let's go""
'Cause we gon' rock this club
We gon' go all night
We gon' light it up
Like it's dynamite
'Cause I told you once
Now I told you twice
We gon' light it up
Like it's dynamite

[Bridge]
I'm gonna take it all, I
I'm gonna be the last one standing
Higher overall, I
I'm gonna be the last one landing
'Cause I, I, I believe it
And I, I, I, I just want it all
I just want it all
I'm gonna put my hands in the air
Hands, hands in the air
Put yo' hands in the air

[Chorus]
I throw my hands up in the air sometimes
Sayin' ""Ayo, gotta let go""
I wanna celebrate and live my life
Sayin' ""Ayo, baby, let's go""
'Cause we gon' rock this club
We gon' go all night
We gon' light it up
Like it's dynamite
'Cause I told you once
Now I told you twice
We gon' light it up
Like it's dynamite

"
7,8,Secrets,OneRepublic,dance pop,2010,148,76,52,-6,12,38,225,7,4,77,"

[Verse 1]
I need another story
Something to get off my chest
My life gets kinda boring
Need something that I can confess
'Til all my sleeves are stained red
From all the truth that I've said
Come by it honestly I swear
Thought you saw me wink, no
I've been on the brink, so

[Chorus]
So tell me what you want to hear
Something that will light those ears
I'm sick of all the insincere
So I'm gonna give all my secrets away
This time
Don't need another perfect lie
Don't care if critics ever jump in line
I'm gonna give all my secrets away

[Verse 2]
My God, amazing how we got this far
It's like we're chasing all those stars
Who's driving shiny big black cars
And every day I see the news
All the problems that we could solve
And when a situation rises
Just write it into an album
Send it straight to gold
But I don't really like my flow, no

[Chorus]
So tell me what you want to hear
Something that will light those ears
I'm sick of all the insincere
So I'm gonna give all my secrets away
This time
Don't need another perfect lie
Don't care if critics ever jump in line
I'm gonna give all my secrets away

[Bridge]
Ooh
Got no reason, got no shame
Got no family I can blame
Just don't let me disappear
I'ma tell you everything

[Chorus]
So tell me what you want to hear
Something that'll light those ears
I'm sick of all the insincere
So I'm gonna give all my secrets away
This time
Don't need another perfect lie
Don't care if critics ever jump in line
I'm gonna give all my secrets away
So tell me what you want to hear
Something that'll light those ears
I'm sick of all the insincere
So I'm gonna give all my secrets away
This time
Don't need another perfect lie
Don't care if critics ever jump in line
I'm gonna give all my secrets away

[Outro]
All my secrets away
All my secrets away

"
8,9,Empire State of Mind (Part II) Broken Down,Alicia Keys,hip pop,2010,93,37,48,-8,12,14,216,74,3,76,"

[Intro]
Ooooh, New York!
Ooooh, New York!

[Verse 1]
Grew up in a town that is famous as a place of movie scenes
Noise is always loud, there are sirens all around and the streets are mean
If I can make it here, I can make it anywhere, that's what they say
Seeing my face in lights or my name in marquees found down on Broadway

[Hook 1]
Even if it ain't all it seems, I got a pocketful of dreams
Baby I'm from New York!
Concrete jungle where dreams are made of
There's nothing you can't do
Now you're in New York!
These streets will make you feel brand new
Big lights will inspire you
Hear it for New York, New York, New Yooork!

[Verse 2]
On the avenue, there ain't never a curfew, ladies work so hard
Such a melting pot, on the corner selling rock, preachers pray to God
Hail a gypsy cab, takes me down from Harlem to the Brooklyn Bridge
Someone sleeps tonight with a hunger far more than an empty fridge

[Hook 2]
I'mma make it by any means, I got a pocketful of dreams
Baby I'm from New York!
Concrete jungle where dreams are made of
There's nothing you can't do
Now you're in New York!
These streets will make you feel brand new
Big lights will inspire you
Hear it for New York, New York, New Yooork!

[Bridge]
One hand in the air for the big city
Street lights, big dreams, all looking pretty
No place in the world that can compare
Put your lighters in the air, everybody say
Yeah! Yeah! Yeah! Yeah!

[Hook 3]
In New York!
Concrete jungle where dreams are made of
There's nothing you can't do
Now you're in New York!
These streets will make you feel brand new
Big lights will inspire you
Hear it from New York

"
9,10,Only Girl (In The World),Rihanna,barbadian pop,2010,126,72,79,-4,7,61,235,13,4,73,
